Latitude (decimal degrees):	42.218
Longitude (decimal degrees):	-8.762
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:1710,0.0,0.0,0.0,12.03,3.72,0.0
20230103:1810,0.0,0.0,0.0,11.57,3.52,0.0
20230103:1910,0.0,0.0,0.0,11.14,3.24,0.0
20230103:2010,0.0,0.0,0.0,10.84,3.17,0.0
20230103:2110,0.0,0.0,0.0,10.5,3.03,0.0
20230103:2210,0.0,0.0,0.0,10.16,2.69,0.0
20230103:2310,0.0,0.0,0.0,9.89,2.41,0.0
20230104:0010,0.0,0.0,0.0,9.45,2.34,0.0
20230104:0110,0.0,0.0,0.0,9.26,2.34,0.0
20230104:0210,0.0,0.0,0.0,9.14,2.41,0.0
20230104:0310,0.0,0.0,0.0,9.07,2.48,0.0
20230104:0410,0.0,0.0,0.0,8.92,2.41,0.0
20230104:0510,0.0,0.0,0.0,8.7,2.28,0.0
20230104:0610,0.0,0.0,0.0,8.51,2.14,0.0
20230104:0710,0.0,0.0,0.0,8.27,2.07,0.0
20230104:0810,0.0,0.0,0.0,7.95,2.07,0.0
20230104:0910,80.04,109.11,9.07,8.7,1.86,0.0
20230104:1010,131.69,168.87,16.46,11.0,1.52,0.0
20230104:1110,237.67,292.19,21.85,12.94,1.45,0.0
20230104:1210,238.14,294.22,24.7,13.71,1.45,0.0
20230104:1310,213.9,266.41,24.67,14.12,1.66,0.0
20230104:1410,196.68,246.07,21.77,14.28,1.86,0.0
20230104:1510,446.0,542.78,16.33,14.23,1.79,0.0
20230104:1610,271.23,335.6,8.91,13.83,1.38,0.0
20230104:1710,0.0,0.0,0.0,13.22,0.83,0.0
20230104:1810,0.0,0.0,0.0,12.67,0.21,0.0
20230104:1910,0.0,0.0,0.0,11.97,0.55,0.0
20230104:2010,0.0,0.0,0.0,10.7,1.03,0.0
20230104:2110,0.0,0.0,0.0,9.85,1.31,0.0
20230104:2210,0.0,0.0,0.0,8.79,1.59,0.0
20230104:2310,0.0,0.0,0.0,7.74,1.79,0.0
20230105:0010,0.0,0.0,0.0,6.86,1.93,0.0
20230105:0110,0.0,0.0,0.0,6.16,2.0,0.0
20230105:0210,0.0,0.0,0.0,5.75,1.93,0.0
20230105:0310,0.0,0.0,0.0,5.65,1.93,0.0
20230105:0410,0.0,0.0,0.0,5.79,2.07,0.0
20230105:0510,0.0,0.0,0.0,5.94,2.28,0.0
20230105:0610,0.0,0.0,0.0,6.03,2.34,0.0
20230105:0710,0.0,0.0,0.0,6.04,2.28,0.0
20230105:0810,0.0,0.0,0.0,6.01,2.34,0.0
20230105:0910,287.38,342.98,9.09,6.49,2.28,0.0
20230105:1010,473.13,557.53,16.51,8.01,2.28,0.0
20230105:1110,610.7,736.26,21.92,9.91,2.0,0.0
20230105:1210,675.27,834.78,24.8,11.45,1.52,0.0
20230105:1310,669.54,837.09,24.79,12.79,1.24,0.0
20230105:1410,615.94,761.01,21.9,13.39,1.59,0.0
20230105:1510,483.55,587.5,16.48,13.36,1.79,0.0
20230105:1610,299.74,367.83,9.05,12.94,1.59,0.0
20230105:1710,0.0,0.0,0.0,12.19,1.17,0.0
20230105:1810,0.0,0.0,0.0,10.72,0.97,0.0
20230105:1910,0.0,0.0,0.0,9.21,1.45,0.0
20230105:2010,0.0,0.0,0.0,8.2,1.72,0.0
20230105:2110,0.0,0.0,0.0,7.13,2.0,0.0
20230105:2210,0.0,0.0,0.0,6.24,2.14,0.0
20230105:2310,0.0,0.0,0.0,5.55,2.14,0.0
20230106:0010,0.0,0.0,0.0,5.04,2.07,0.0
20230106:0110,0.0,0.0,0.0,5.11,2.14,0.0
20230106:0210,0.0,0.0,0.0,5.45,2.21,0.0
20230106:0310,0.0,0.0,0.0,5.77,2.41,0.0
20230106:0410,0.0,0.0,0.0,6.03,2.62,0.0
20230106:0510,0.0,0.0,0.0,6.37,2.9,0.0
20230106:0610,0.0,0.0,0.0,6.01,3.17,0.0
20230106:0710,0.0,0.0,0.0,5.99,3.38,0.0
20230106:0810,0.0,0.0,0.0,6.23,3.59,0.0
20230106:0910,208.22,252.13,9.13,7.02,3.66,0.0
20230106:1010,322.2,379.75,16.57,9.34,3.93,0.0
20230106:1110,579.15,683.65,22.0,10.79,4.48,0.0
20230106:1210,675.7,801.81,24.9,11.55,5.31,0.0
20230106:1310,680.47,804.62,24.91,12.07,6.34,0.0
20230106:1410,586.75,690.35,22.04,12.25,6.34,0.0
20230106:1510,392.17,461.25,16.63,12.47,6.9,0.0
20230106:1610,166.47,208.19,9.21,12.3,6.69,0.0
20230106:1710,0.0,0.0,0.0,11.99,6.34,0.0
20230106:1810,0.0,0.0,0.0,11.89,6.28,0.0
20230106:1910,0.0,0.0,0.0,11.66,6.28,0.0
20230106:2010,0.0,0.0,0.0,11.47,6.62,0.0
20230106:2110,0.0,0.0,0.0,11.49,7.1,0.0
20230106:2210,0.0,0.0,0.0,11.52,7.52,0.0
20230106:2310,0.0,0.0,0.0,11.65,7.72,0.0
20230107:0010,0.0,0.0,0.0,11.79,7.86,0.0
20230107:0110,0.0,0.0,0.0,11.85,8.14,0.0
20230107:0210,0.0,0.0,0.0,11.92,8.48,0.0
20230107:0310,0.0,0.0,0.0,11.85,9.17,0.0
20230107:0410,0.0,0.0,0.0,11.99,9.45,0.0
20230107:0510,0.0,0.0,0.0,12.19,9.72,0.0
20230107:0610,0.0,0.0,0.0,12.46,9.52,0.0
20230107:0710,0.0,0.0,0.0,12.85,8.9,0.0
20230107:0810,0.0,0.0,0.0,12.88,7.66,0.0
20230107:0910,16.85,33.23,9.17,13.04,6.76,0.0
20230107:1010,61.24,88.6,16.63,13.22,6.48,0.0
20230107:1110,133.98,172.08,22.09,13.09,6.69,0.0
20230107:1210,89.64,121.84,25.01,12.7,5.24,0.0
20230107:1310,80.87,111.69,25.05,12.71,4.76,0.0
20230107:1410,25.24,44.31,22.19,12.53,4.83,0.0
20230107:1510,46.0,70.15,16.78,12.29,4.9,0.0
20230107:1610,25.45,44.4,9.36,11.64,5.24,0.0
20230107:1710,0.0,0.0,0.0,11.41,5.93,0.0
20230107:1810,0.0,0.0,0.0,11.04,5.66,0.0
20230107:1910,0.0,0.0,0.0,11.32,6.34,0.0
20230107:2010,0.0,0.0,0.0,11.39,6.21,0.0
20230107:2110,0.0,0.0,0.0,11.38,6.07,0.0
20230107:2210,0.0,0.0,0.0,11.38,6.28,0.0
20230107:2310,0.0,0.0,0.0,11.37,6.34,0.0
20230108:0010,0.0,0.0,0.0,11.4,6.55,0.0
20230108:0110,0.0,0.0,0.0,11.41,7.17,0.0
20230108:0210,0.0,0.0,0.0,11.52,7.17,0.0
20230108:0310,0.0,0.0,0.0,11.88,6.34,0.0
20230108:0410,0.0,0.0,0.0,12.04,6.62,0.0
20230108:0510,0.0,0.0,0.0,12.2,6.76,0.0
20230108:0610,0.0,0.0,0.0,12.44,6.55,0.0
20230108:0710,0.0,0.0,0.0,12.76,6.07,0.0
20230108:0810,0.0,0.0,0.0,12.98,7.31,0.0
20230108:0910,42.33,65.71,9.22,12.76,7.03,0.0
20230108:1010,132.07,168.84,16.7,12.44,7.38,0.0
20230108:1110,119.32,155.2,22.18,12.58,7.1,0.0
20230108:1210,51.27,76.61,25.13,12.82,6.69,0.0
20230108:1310,122.96,159.78,25.19,12.74,6.07,0.0
20230108:1410,40.72,63.69,22.34,12.36,6.41,0.0
20230108:1510,35.5,57.23,16.94,12.27,6.62,0.0
20230108:1610,77.88,107.35,9.52,12.04,6.41,0.0
20230108:1710,0.0,0.0,0.0,11.94,6.0,0.0
20230108:1810,0.0,0.0,0.0,11.67,5.45,0.0
20230108:1910,0.0,0.0,0.0,11.16,4.21,0.0
20230108:2010,0.0,0.0,0.0,10.9,3.79,0.0
20230108:2110,0.0,0.0,0.0,10.54,2.9,0.0
20230108:2210,0.0,0.0,0.0,10.35,2.55,0.0
20230108:2310,0.0,0.0,0.0,10.26,2.48,0.0
20230109:0010,0.0,0.0,0.0,9.93,2.48,0.0
20230109:0110,0.0,0.0,0.0,10.06,2.83,0.0
20230109:0210,0.0,0.0,0.0,10.09,3.17,0.0
20230109:0310,0.0,0.0,0.0,9.87,3.31,0.0
20230109:0410,0.0,0.0,0.0,9.95,3.17,0.0
20230109:0510,0.0,0.0,0.0,9.82,2.69,0.0
20230109:0610,0.0,0.0,0.0,9.78,2.48,0.0
20230109:0710,0.0,0.0,0.0,9.77,2.28,0.0
20230109:0810,0.0,0.0,0.0,9.01,1.52,0.0
20230109:0910,212.76,263.34,9.27,9.86,0.83,0.0
20230109:1010,221.56,272.03,16.78,10.9,0.62,0.0
20230109:1110,483.69,588.8,22.28,11.74,0.97,0.0
20230109:1210,513.4,623.92,25.26,12.25,1.59,0.0
20230109:1310,593.43,721.3,25.33,12.5,2.34,0.0
20230109:1410,447.9,535.95,22.5,12.63,2.97,0.0
20230109:1510,335.9,402.0,17.11,12.47,3.17,0.0
20230109:1610,299.2,362.63,9.69,12.19,3.03,0.0
20230109:1710,0.0,0.0,0.0,11.66,2.97,0.0
20230109:1810,0.0,0.0,0.0,11.1,2.97,0.0
20230109:1910,0.0,0.0,0.0,11.12,3.1,0.0
20230109:2010,0.0,0.0,0.0,11.07,3.17,0.0
20230109:2110,0.0,0.0,0.0,10.99,3.24,0.0
20230109:2210,0.0,0.0,0.0,10.8,3.24,0.0
20230109:2310,0.0,0.0,0.0,10.78,3.24,0.0
20230110:0010,0.0,0.0,0.0,10.73,3.38,0.0
20230110:0110,0.0,0.0,0.0,10.66,3.59,0.0
20230110:0210,0.0,0.0,0.0,10.83,3.79,0.0
20230110:0310,0.0,0.0,0.0,10.93,4.0,0.0
20230110:0410,0.0,0.0,0.0,10.93,4.28,0.0
20230110:0510,0.0,0.0,0.0,11.03,4.41,0.0
20230110:0610,0.0,0.0,0.0,11.32,4.69,0.0
20230110:0710,0.0,0.0,0.0,11.45,4.76,0.0
20230110:0810,0.0,0.0,0.0,11.57,4.97,0.0
20230110:0910,21.08,38.77,9.33,11.91,5.03,0.0
20230110:1010,66.9,94.99,16.86,12.36,5.03,0.0
20230110:1110,161.94,203.46,22.39,12.99,6.34,0.0
20230110:1210,192.26,238.07,25.39,13.32,6.41,0.0
20230110:1310,45.01,69.23,25.49,13.5,6.9,0.0
20230110:1410,325.77,387.96,22.67,13.59,6.76,0.0
20230110:1510,164.41,206.08,17.28,13.74,6.9,0.0
20230110:1610,96.17,129.19,9.86,13.73,6.69,0.0
20230110:1710,0.0,0.0,0.0,13.53,5.45,0.0
20230110:1810,0.0,0.0,0.0,13.35,5.31,0.0
20230110:1910,0.0,0.0,0.0,13.14,6.07,0.0
20230110:2010,0.0,0.0,0.0,13.09,6.48,0.0
20230110:2110,0.0,0.0,0.0,13.09,6.76,0.0
20230110:2210,0.0,0.0,0.0,13.09,7.1,0.0
20230110:2310,0.0,0.0,0.0,13.15,6.55,0.0
20230111:0010,0.0,0.0,0.0,13.07,4.83,0.0
20230111:0110,0.0,0.0,0.0,12.82,4.14,0.0
20230111:0210,0.0,0.0,0.0,12.39,3.24,0.0
20230111:0310,0.0,0.0,0.0,11.98,2.41,0.0
20230111:0410,0.0,0.0,0.0,11.5,2.69,0.0
20230111:0510,0.0,0.0,0.0,10.9,2.69,0.0
20230111:0610,0.0,0.0,0.0,10.44,2.48,0.0
20230111:0710,0.0,0.0,0.0,10.53,2.62,0.0
20230111:0810,0.0,0.0,0.0,10.04,2.14,0.0
20230111:0910,144.05,183.35,9.4,10.03,1.79,0.0
20230111:1010,433.03,520.53,16.95,11.44,1.72,0.0
20230111:1110,255.81,310.71,22.51,12.21,2.55,0.0
20230111:1210,662.12,809.97,25.53,12.59,2.48,0.0
20230111:1310,580.33,709.2,25.65,13.0,2.0,0.0
20230111:1410,617.24,752.43,22.84,13.11,2.48,0.0
20230111:1510,493.41,590.25,17.46,13.06,3.45,0.0
20230111:1610,321.71,389.46,10.04,12.68,3.24,0.0
20230111:1710,0.0,0.0,0.0,11.99,2.41,0.0
20230111:1810,0.0,0.0,0.0,10.99,2.14,0.0
20230111:1910,0.0,0.0,0.0,9.67,1.24,0.0
20230111:2010,0.0,0.0,0.0,9.89,1.1,0.0
20230111:2110,0.0,0.0,0.0,10.27,0.55,0.0
20230111:2210,0.0,0.0,0.0,9.95,0.21,0.0
20230111:2310,0.0,0.0,0.0,9.75,0.07,0.0
20230112:0010,0.0,0.0,0.0,9.54,0.28,0.0
20230112:0110,0.0,0.0,0.0,8.87,0.41,0.0
20230112:0210,0.0,0.0,0.0,7.91,0.69,0.0
20230112:0310,0.0,0.0,0.0,7.15,0.9,0.0
20230112:0410,0.0,0.0,0.0,6.67,1.1,0.0
20230112:0510,0.0,0.0,0.0,6.57,1.38,0.0
20230112:0610,0.0,0.0,0.0,7.15,1.72,0.0
20230112:0710,0.0,0.0,0.0,7.62,2.0,0.0
20230112:0810,0.0,0.0,0.0,7.7,2.21,0.0
20230112:0910,24.3,42.46,9.48,8.47,2.55,0.0
20230112:1010,49.63,73.84,17.05,9.63,3.1,0.0
20230112:1110,83.66,114.09,22.63,10.81,3.66,0.0
20230112:1210,117.35,152.92,25.68,11.39,4.41,0.0
20230112:1310,106.52,140.81,25.82,11.77,4.83,0.0
20230112:1410,121.05,157.18,23.02,12.04,5.24,0.0
20230112:1510,63.82,91.33,17.64,12.16,5.24,0.0
20230112:1610,34.01,55.29,10.22,11.95,4.83,0.0
20230112:1710,0.0,0.0,0.0,11.69,4.34,0.0
20230112:1810,0.0,0.0,0.0,11.47,4.07,0.0
20230112:1910,0.0,0.0,0.0,11.25,3.59,0.0
20230112:2010,0.0,0.0,0.0,11.2,3.38,0.0
20230112:2110,0.0,0.0,0.0,11.19,3.1,0.0
20230112:2210,0.0,0.0,0.0,11.1,2.69,0.0
20230112:2310,0.0,0.0,0.0,11.07,2.83,0.0
20230113:0010,0.0,0.0,0.0,10.98,3.24,0.0
20230113:0110,0.0,0.0,0.0,10.93,3.24,0.0
20230113:0210,0.0,0.0,0.0,10.68,3.1,0.0
20230113:0310,0.0,0.0,0.0,10.57,3.17,0.0
20230113:0410,0.0,0.0,0.0,10.5,3.45,0.0
20230113:0510,0.0,0.0,0.0,10.36,3.52,0.0
20230113:0610,0.0,0.0,0.0,10.22,3.59,0.0
20230113:0710,0.0,0.0,0.0,10.66,3.52,0.0
20230113:0810,0.0,0.0,0.0,10.48,3.59,0.0
20230113:0910,61.64,88.28,9.56,10.48,3.45,0.0
20230113:1010,85.51,116.08,17.15,11.06,3.72,0.0
20230113:1110,347.88,413.63,22.76,11.91,4.07,0.0
20230113:1210,381.71,455.49,25.84,12.87,4.0,0.0
20230113:1310,567.48,680.15,25.99,13.4,4.14,0.0
20230113:1410,460.88,550.35,23.2,13.93,4.34,0.0
20230113:1510,305.77,367.95,17.83,14.0,4.34,0.0
20230113:1610,104.09,138.61,10.41,13.72,4.0,0.0
20230113:1710,0.0,0.0,0.0,13.38,4.0,0.0
20230113:1810,0.0,0.0,0.0,13.09,4.14,0.0
20230113:1910,0.0,0.0,0.0,12.84,4.21,0.0
20230113:2010,0.0,0.0,0.0,12.87,4.69,0.0
20230113:2110,0.0,0.0,0.0,12.91,4.76,0.0
20230113:2210,0.0,0.0,0.0,12.94,4.97,0.0
20230113:2310,0.0,0.0,0.0,12.98,5.24,0.0
20230114:0010,0.0,0.0,0.0,12.93,5.38,0.0
20230114:0110,0.0,0.0,0.0,12.87,5.38,0.0
20230114:0210,0.0,0.0,0.0,12.83,5.17,0.0
20230114:0310,0.0,0.0,0.0,12.76,4.9,0.0
20230114:0410,0.0,0.0,0.0,12.59,5.03,0.0
20230114:0510,0.0,0.0,0.0,12.34,4.97,0.0
20230114:0610,0.0,0.0,0.0,12.34,5.03,0.0
20230114:0710,0.0,0.0,0.0,11.88,4.69,0.0
20230114:0810,0.0,0.0,0.0,11.8,4.83,0.0
20230114:0910,89.44,121.11,9.64,11.92,5.17,0.0
20230114:1010,295.62,352.16,17.26,12.37,6.28,0.0
20230114:1110,76.97,107.07,22.9,12.9,6.55,0.0
20230114:1210,95.1,128.3,26.0,13.34,7.52,0.0
20230114:1310,261.59,315.9,26.17,13.87,7.86,0.0
20230114:1410,150.27,191.07,23.39,14.03,7.72,0.0
20230114:1510,191.6,236.54,18.02,13.96,7.93,0.0
20230114:1610,126.86,163.95,10.6,13.57,7.72,0.0
20230114:1710,0.0,0.92,1.68,13.27,7.52,0.0
20230114:1810,0.0,0.0,0.0,12.94,7.59,0.0
20230114:1910,0.0,0.0,0.0,12.86,7.79,0.0
20230114:2010,0.0,0.0,0.0,12.83,7.79,0.0
20230114:2110,0.0,0.0,0.0,12.76,8.28,0.0
20230114:2210,0.0,0.0,0.0,12.78,8.14,0.0
20230114:2310,0.0,0.0,0.0,12.4,4.9,0.0
20230115:0010,0.0,0.0,0.0,11.39,4.9,0.0
20230115:0110,0.0,0.0,0.0,10.35,6.28,0.0
20230115:0210,0.0,0.0,0.0,9.03,6.55,0.0
20230115:0310,0.0,0.0,0.0,8.2,5.72,0.0
20230115:0410,0.0,0.0,0.0,7.8,4.28,0.0
20230115:0510,0.0,0.0,0.0,7.61,3.79,0.0
20230115:0610,0.0,0.0,0.0,7.45,3.59,0.0
20230115:0710,0.0,0.0,0.0,7.69,3.59,0.0
20230115:0810,0.0,0.0,0.0,7.61,3.45,0.0
20230115:0910,214.01,259.91,9.74,7.75,3.31,0.0
20230115:1010,497.79,584.19,17.38,8.66,3.38,0.0
20230115:1110,453.9,532.04,23.05,9.37,3.86,0.0
20230115:1210,686.86,816.85,26.17,9.97,4.14,0.0
20230115:1310,613.65,725.37,26.36,10.29,4.41,0.0
20230115:1410,640.88,758.9,23.59,10.62,4.48,0.0
20230115:1510,354.43,418.15,18.22,10.73,4.34,0.0
20230115:1610,308.53,367.8,10.79,10.57,4.83,0.0
20230115:1710,0.0,4.62,1.87,10.1,4.9,0.0
20230115:1810,0.0,0.0,0.0,9.65,5.1,0.0
20230115:1910,0.0,0.0,0.0,9.52,5.66,0.0
20230115:2010,0.0,0.0,0.0,10.05,6.55,0.0
20230115:2110,0.0,0.0,0.0,10.37,7.45,0.0
20230115:2210,0.0,0.0,0.0,10.21,7.66,0.0
20230115:2310,0.0,0.0,0.0,10.41,8.07,0.0
20230116:0010,0.0,0.0,0.0,10.87,8.55,0.0
20230116:0110,0.0,0.0,0.0,11.19,9.17,0.0
20230116:0210,0.0,0.0,0.0,11.22,9.38,0.0
20230116:0310,0.0,0.0,0.0,11.24,9.03,0.0
20230116:0410,0.0,0.0,0.0,11.24,9.03,0.0
20230116:0510,0.0,0.0,0.0,11.24,9.59,0.0
20230116:0610,0.0,0.0,0.0,11.45,9.38,0.0
20230116:0710,0.0,0.0,0.0,11.44,9.31,0.0
20230116:0810,0.0,0.0,0.0,11.53,9.72,0.0
20230116:0910,8.56,21.23,9.84,11.61,9.31,0.0
20230116:1010,20.41,37.85,17.51,11.83,9.24,0.0
20230116:1110,22.5,40.61,23.2,11.99,9.24,0.0
20230116:1210,21.8,39.69,26.34,11.95,10.0,0.0
20230116:1310,28.23,48.0,26.55,12.01,10.41,0.0
20230116:1410,30.41,50.77,23.79,12.04,10.62,0.0
20230116:1510,40.09,62.77,18.42,12.02,10.48,0.0
20230116:1610,2.93,12.0,10.99,11.95,10.41,0.0
20230116:1710,0.0,0.92,2.06,11.74,10.48,0.0
20230116:1810,0.0,0.0,0.0,11.83,9.86,0.0
20230116:1910,0.0,0.0,0.0,11.34,10.62,0.0
20230116:2010,0.0,0.0,0.0,11.4,11.1,0.0
20230116:2110,0.0,0.0,0.0,11.84,10.41,0.0
20230116:2210,0.0,0.0,0.0,12.07,11.1,0.0
20230116:2310,0.0,0.0,0.0,12.08,10.9,0.0
20230117:0010,0.0,0.0,0.0,11.8,9.72,0.0
20230117:0110,0.0,0.0,0.0,11.53,9.03,0.0
20230117:0210,0.0,0.0,0.0,10.83,8.62,0.0
20230117:0310,0.0,0.0,0.0,10.15,9.31,0.0
20230117:0410,0.0,0.0,0.0,9.37,9.17,0.0
20230117:0510,0.0,0.0,0.0,8.7,9.03,0.0
20230117:0610,0.0,0.0,0.0,8.02,8.83,0.0
20230117:0710,0.0,0.0,0.0,7.69,9.17,0.0
20230117:0810,0.0,0.0,0.0,7.68,8.76,0.0
20230117:0910,67.14,93.36,9.95,7.64,9.17,0.0
20230117:1010,79.62,107.58,17.64,7.78,8.48,0.0
20230117:1110,47.05,70.15,23.36,8.05,8.34,0.0
20230117:1210,99.32,130.15,26.53,7.92,8.48,0.0
20230117:1310,108.03,139.81,26.75,7.81,8.48,0.0
20230117:1410,87.23,116.31,24.0,7.58,8.97,0.0
20230117:1510,317.0,366.13,18.63,7.43,8.83,0.0
20230117:1610,92.77,121.69,11.19,6.94,8.41,0.0
20230117:1710,0.0,0.92,2.25,6.19,8.21,0.0
20230117:1810,0.0,0.0,0.0,5.95,8.48,0.0
20230117:1910,0.0,0.0,0.0,5.76,7.93,0.0
20230117:2010,0.0,0.0,0.0,5.5,7.72,0.0
20230117:2110,0.0,0.0,0.0,5.46,7.66,0.0
20230117:2210,0.0,0.0,0.0,5.95,6.83,0.0
20230117:2310,0.0,0.0,0.0,5.88,7.86,0.0
20230118:0010,0.0,0.0,0.0,5.98,8.0,0.0
20230118:0110,0.0,0.0,0.0,6.19,7.72,0.0
20230118:0210,0.0,0.0,0.0,6.24,7.31,0.0
20230118:0310,0.0,0.0,0.0,6.39,7.31,0.0
20230118:0410,0.0,0.0,0.0,6.17,7.17,0.0
20230118:0510,0.0,0.0,0.0,6.06,6.76,0.0
20230118:0610,0.0,0.0,0.0,5.83,6.83,0.0
20230118:0710,0.0,0.0,0.0,5.51,4.48,0.0
20230118:0810,0.0,0.0,0.0,5.38,4.76,0.0
20230118:0910,12.08,25.85,10.06,5.64,4.76,0.0
20230118:1010,346.82,400.42,17.78,6.39,5.52,0.0
20230118:1110,225.44,268.33,23.52,7.17,5.38,0.0
20230118:1210,411.9,476.24,26.72,7.65,5.72,0.0
20230118:1310,345.44,401.89,26.96,8.13,6.28,0.0
20230118:1410,660.15,765.15,24.22,8.63,6.62,0.0
20230118:1510,562.76,648.69,18.84,8.6,6.9,0.0
20230118:1610,319.43,374.74,11.4,8.46,6.55,0.0
20230118:1710,0.32,6.46,2.45,8.13,6.21,0.0
20230118:1810,0.0,0.0,0.0,7.77,5.72,0.0
20230118:1910,0.0,0.0,0.0,7.32,5.66,0.0
20230118:2010,0.0,0.0,0.0,7.24,5.03,0.0
20230118:2110,0.0,0.0,0.0,7.18,4.48,0.0
20230118:2210,0.0,0.0,0.0,7.07,3.93,0.0
20230118:2310,0.0,0.0,0.0,6.96,3.38,0.0
20230119:0010,0.0,0.0,0.0,6.69,2.9,0.0
20230119:0110,0.0,0.0,0.0,6.08,2.28,0.0
20230119:0210,0.0,0.0,0.0,5.51,2.21,0.0
20230119:0310,0.0,0.0,0.0,6.02,1.52,0.0
20230119:0410,0.0,0.0,0.0,5.43,1.79,0.0
20230119:0510,0.0,0.0,0.0,5.5,1.79,0.0
20230119:0610,0.0,0.0,0.0,5.68,2.21,0.0
20230119:0710,0.0,0.0,0.0,7.74,3.72,0.0
20230119:0810,0.0,0.0,0.0,8.38,4.0,0.0
20230119:0910,25.73,44.31,10.18,8.77,4.21,0.0
20230119:1010,24.95,43.38,17.92,9.3,5.31,0.0
20230119:1110,73.3,101.54,23.69,9.85,6.14,0.0
20230119:1210,31.4,51.69,26.91,10.31,7.38,0.0
20230119:1310,40.34,62.77,27.17,10.61,7.93,0.0
20230119:1410,27.67,47.08,24.44,10.72,7.52,0.0
20230119:1510,24.73,43.38,19.06,11.05,6.76,0.0
20230119:1610,25.41,44.31,11.61,11.35,7.1,0.0
20230119:1710,0.0,2.77,2.66,11.63,7.38,0.0
20230119:1810,0.0,0.0,0.0,11.8,7.1,0.0
20230119:1910,0.0,0.0,0.0,11.76,7.1,0.0
20230119:2010,0.0,0.0,0.0,11.75,6.48,0.0
20230119:2110,0.0,0.0,0.0,11.75,5.79,0.0
20230119:2210,0.0,0.0,0.0,11.65,5.03,0.0
20230119:2310,0.0,0.0,0.0,11.53,4.48,0.0
20230120:0010,0.0,0.0,0.0,11.32,3.52,0.0
20230120:0110,0.0,0.0,0.0,11.19,3.03,0.0
20230120:0210,0.0,0.0,0.0,11.16,2.76,0.0
20230120:0310,0.0,0.0,0.0,11.14,2.48,0.0
20230120:0410,0.0,0.0,0.0,11.1,2.14,0.0
20230120:0510,0.0,0.0,0.0,10.97,1.86,0.0
20230120:0610,0.0,0.0,0.0,10.73,1.38,0.0
20230120:0710,0.0,0.0,0.0,10.85,1.59,0.0
20230120:0810,0.0,0.0,0.0,10.79,1.72,0.0
20230120:0910,55.22,81.01,10.3,11.03,1.79,0.0
20230120:1010,92.39,124.5,18.07,11.38,1.79,0.0
20230120:1110,390.03,467.63,23.87,12.08,2.34,0.0
20230120:1210,413.84,495.77,27.11,12.58,2.97,0.0
20230120:1310,244.73,299.29,27.39,12.85,2.9,0.0
20230120:1410,85.3,117.23,24.66,12.88,2.55,0.0
20230120:1510,61.93,89.54,19.28,12.75,3.03,0.0
20230120:1610,100.78,134.21,11.83,12.63,3.66,0.0
20230120:1710,0.0,3.69,2.86,12.39,3.66,0.0
20230120:1810,0.0,0.0,0.0,12.13,3.31,0.0
20230120:1910,0.0,0.0,0.0,11.9,2.97,0.0
20230120:2010,0.0,0.0,0.0,11.83,2.62,0.0
20230120:2110,0.0,0.0,0.0,11.69,2.69,0.0
20230120:2210,0.0,0.0,0.0,11.52,2.9,0.0
20230120:2310,0.0,0.0,0.0,11.44,3.17,0.0
20230121:0010,0.0,0.0,0.0,11.37,3.31,0.0
20230121:0110,0.0,0.0,0.0,11.32,3.31,0.0
20230121:0210,0.0,0.0,0.0,11.18,3.31,0.0
20230121:0310,0.0,0.0,0.0,11.03,3.31,0.0
20230121:0410,0.0,0.0,0.0,10.94,3.38,0.0
20230121:0510,0.0,0.0,0.0,10.8,3.45,0.0
20230121:0610,0.0,0.0,0.0,10.66,3.38,0.0
20230121:0710,0.0,0.0,0.0,11.0,3.72,0.0
20230121:0810,0.0,0.0,0.0,10.89,3.72,0.0
20230121:0910,44.49,67.98,10.44,10.9,3.66,0.0
20230121:1010,60.86,87.69,18.23,11.42,4.48,0.0
20230121:1110,124.94,161.81,24.05,12.11,4.83,0.0
20230121:1210,103.5,137.9,27.32,12.82,5.1,0.0
20230121:1310,220.63,270.88,27.62,13.32,5.1,0.0
20230121:1410,523.11,622.3,24.89,13.58,5.1,0.0
20230121:1510,522.89,622.11,19.51,13.67,4.97,0.0
20230121:1610,302.02,365.0,12.04,13.52,4.55,0.0
20230121:1710,6.26,18.15,3.07,12.84,4.28,0.0
20230121:1810,0.0,0.0,0.0,11.74,4.14,0.0
20230121:1910,0.0,0.0,0.0,11.02,4.48,0.0
20230121:2010,0.0,0.0,0.0,10.16,4.55,0.0
20230121:2110,0.0,0.0,0.0,9.3,4.62,0.0
20230121:2210,0.0,0.0,0.0,8.47,4.41,0.0
20230121:2310,0.0,0.0,0.0,7.8,4.34,0.0
20230122:0010,0.0,0.0,0.0,7.21,4.28,0.0
20230122:0110,0.0,0.0,0.0,6.72,4.28,0.0
20230122:0210,0.0,0.0,0.0,6.27,4.21,0.0
20230122:0310,0.0,0.0,0.0,5.93,4.07,0.0
20230122:0410,0.0,0.0,0.0,5.5,3.79,0.0
20230122:0510,0.0,0.0,0.0,5.08,3.66,0.0
20230122:0610,0.0,0.0,0.0,4.72,3.52,0.0
